index,event_ts,event_id,info,event_tags,attrib_type,attrib_value,attrib_ts,attrib_tags
90,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/vQdtCow,2021-04-01 13:52:06+00:00,TELUS_TI|Smishing|7726_sms
91,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,Att: Amy: The item lPS_15192705965 is detained in the imports department . Visit our site to find your item: ofojih.me/vQdtCow,2021-04-01 13:52:07+00:00,TELUS_TI|Smishing|7726_sms
92,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/C2MZHS2,2021-04-05 13:59:59+00:00,TELUS_TI|Smishing|7726_sms|moose
93,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/C2MZHS2,2021-04-01 14:01:35+00:00,TELUS_TI|Smishing|7726_sms
94,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,Hi . The product lPS_12505520123 is held in the imports warehouse . Please visit our site to find your item: ofojih.me/C2MZHS2,2021-04-01 14:01:35+00:00,TELUS_TI|Smishing|7726_sms
95,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://ofojih.me/ZHEXvkM,2021-04-05 13:59:59+00:00,TELUS_TI|Smishing|7726_sms|moose
96,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/ZHEXvkM,2021-04-01 14:32:24+00:00,TELUS_TI|Smishing|7726_sms
97,2021-04-05 13:59:59+00:00,270787,phishing domain - ofojih.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,"hi Anita, The item lPS_12502026794 is held in the distribution center . Visit our link to get your item: ofojih.me/ZHEXvkM",2021-04-01 14:32:24+00:00,TELUS_TI|Smishing|7726_sms
97,2021-04-05 14:00:00+00:00,270796,phishing domain - costcowholesale-annual.ca,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: costco|sector: retail|Validated Threat|tid: 943288,,,,
98,2021-04-05 14:00:00+00:00,270796,phishing domain - costcowholesale-annual.ca,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: costco|sector: retail|Validated Threat|tid: 943288,domain,costcowholesale-annual.ca,2021-04-01 13:17:50+00:00,TELUS_TI|Smishing|cloudmark_sms
99,2021-04-05 14:00:00+00:00,270796,phishing domain - costcowholesale-annual.ca,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: costco|sector: retail|Validated Threat|tid: 943288,url,https://costcowholesale-annual.ca,2021-04-05 14:00:00+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
100,2021-04-05 14:00:00+00:00,270796,phishing domain - costcowholesale-annual.ca,TELUS_TI|Smishing|cloudmark_sms|7726_sms|brand: costco|sector: retail|Validated Threat|tid: 943288,text,Claim your annual 2% reward of 147.32$. See: https://costcowholesale-annual.ca,2021-04-01 13:17:51+00:00,TELUS_TI|Smishing|cloudmark_sms
100,2021-04-06 19:02:54+00:00,270804,phishing domain - es-dhpackage.info,TELUS_TI|Smishing|cloudmark_sms|url shortener|sector: delivery|Validated Threat|tid: 943288,,,,
101,2021-04-06 19:02:54+00:00,270804,phishing domain - es-dhpackage.info,TELUS_TI|Smishing|cloudmark_sms|url shortener|sector: delivery|Validated Threat|tid: 943288,domain,es-dhpackage.info,2021-04-01 13:26:34+00:00,TELUS_TI|Smishing|cloudmark_sms
102,2021-04-06 19:02:54+00:00,270804,phishing domain - es-dhpackage.info,TELUS_TI|Smishing|cloudmark_sms|url shortener|sector: delivery|Validated Threat|tid: 943288,domain,www.es-dhpackage.info,2021-04-01 13:26:35+00:00,TELUS_TI|Smishing|cloudmark_sms
103,2021-04-06 19:02:54+00:00,270804,phishing domain - es-dhpackage.info,TELUS_TI|Smishing|cloudmark_sms|url shortener|sector: delivery|Validated Threat|tid: 943288,url,https://bit.ly/packageinfo2021,2021-04-06 19:02:54+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
104,2021-04-06 19:02:54+00:00,270804,phishing domain - es-dhpackage.info,TELUS_TI|Smishing|cloudmark_sms|url shortener|sector: delivery|Validated Threat|tid: 943288,uri,/packageinfo2021,2021-04-01 13:26:36+00:00,TELUS_TI|Smishing|cloudmark_sms
105,2021-04-06 19:02:54+00:00,270804,phishing domain - es-dhpackage.info,TELUS_TI|Smishing|cloudmark_sms|url shortener|sector: delivery|Validated Threat|tid: 943288,text,DHL Express 5824620992 scheduled for Apr 02 2021.PleÐ°se ÑÐ¾nfirm Ð¢he settlement (1.99$) Ð°t the fÐ¾llÐ¾wing link : https://bit.ly/packageinfo2021,2021-04-01 13:26:37+00:00,TELUS_TI|Smishing|cloudmark_sms
105,2021-04-06 19:53:08+00:00,270805,phishing domain - ntrsherbs.com,TELUS_TI|Smishing|7726_sms|Suspicious|tid: 943288,,,,
106,2021-04-06 19:53:08+00:00,270805,phishing domain - ntrsherbs.com,TELUS_TI|Smishing|7726_sms|Suspicious|tid: 943288,domain,ntrsherbs.com,2021-04-01 13:26:55+00:00,TELUS_TI|Smishing|7726_sms
107,2021-04-06 19:53:08+00:00,270805,phishing domain - ntrsherbs.com,TELUS_TI|Smishing|7726_sms|Suspicious|tid: 943288,url,http://ntrsherbs.com/kDbLP,2021-04-01 13:26:56+00:00,TELUS_TI|Smishing|7726_sms
108,2021-04-06 19:53:08+00:00,270805,phishing domain - ntrsherbs.com,TELUS_TI|Smishing|7726_sms|Suspicious|tid: 943288,uri,/kDbLP,2021-04-01 13:26:56+00:00,TELUS_TI|Smishing|7726_sms
109,2021-04-06 19:53:08+00:00,270805,phishing domain - ntrsherbs.com,TELUS_TI|Smishing|7726_sms|Suspicious|tid: 943288,text,It's a great day at NHW. Click the link to learn more. ntrsherbs.com/kDbLP Reply 'STOP' to opt out,2021-04-01 13:26:57+00:00,TELUS_TI|Smishing|7726_sms
109,2021-04-06 19:02:54+00:00,270806,phishing domain - eremep.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,,,,
110,2021-04-06 19:02:54+00:00,270806,phishing domain - eremep.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,domain,eremep.me,2021-04-01 13:32:48+00:00,TELUS_TI|Smishing|7726_sms
111,2021-04-06 19:02:54+00:00,270806,phishing domain - eremep.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,url,http://eremep.me/yM7GMgn,2021-04-06 19:02:54+00:00,TELUS_TI|Smishing|7726_sms|moose
112,2021-04-06 19:02:54+00:00,270806,phishing domain - eremep.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,uri,/yM7GMgn,2021-04-01 13:32:49+00:00,TELUS_TI|Smishing|7726_sms
113,2021-04-06 19:02:54+00:00,270806,phishing domain - eremep.me,TELUS_TI|Smishing|7726_sms|sector: delivery|Validated Threat|tid: 943288,text,Hey Tylor: Your product lPS_16474534091 is detained in the distribution warehouse . Go to our system to find your order: eremep.me/yM7GMgn,2021-04-01 13:32:50+00:00,TELUS_TI|Smishing|7726_sms
113,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,,,,
114,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,domain,ofelod.me,2021-04-06 22:57:18+00:00,TELUS_TI|Smishing|cloudmark_sms|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
115,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/BOZAwmn,2021-04-06 20:55:47+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
116,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/BOZAwmn,2021-04-01 13:41:43+00:00,TELUS_TI|Smishing|cloudmark_sms
117,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,Dear Benoit: Your product lPS_18196993328 is detained in the shipping department . Visit our system to find your product: ofelod.me/BOZAwmn,2021-04-01 13:41:44+00:00,TELUS_TI|Smishing|cloudmark_sms
118,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/IXW2iSq,2021-04-06 20:55:48+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
119,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/IXW2iSq,2021-04-01 13:46:27+00:00,TELUS_TI|Smishing|cloudmark_sms
120,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,"Dear , Your order lPS_17056235863 is withheld in the imports warehouse . Visit the website to find your item: ofelod.me/IXW2iSq",2021-04-01 13:46:27+00:00,TELUS_TI|Smishing|cloudmark_sms
121,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/EmCk8NN,2021-04-06 20:55:48+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
122,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/EmCk8NN,2021-04-01 13:46:28+00:00,TELUS_TI|Smishing|cloudmark_sms
123,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,"hey Tim, Your product lPS_14033056096 is detained in the shipping department . Go to our link to find your order: ofelod.me/EmCk8NN",2021-04-01 13:46:29+00:00,TELUS_TI|Smishing|cloudmark_sms
124,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/VAlGieF,2021-04-06 20:55:48+00:00,TELUS_TI|Smishing|cloudmark_sms|moose
125,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/VAlGieF,2021-04-01 13:46:30+00:00,TELUS_TI|Smishing|cloudmark_sms
126,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,hi Luis  The order lPS_19025801569 is detained in the shipping warehouse . Please visit our system to find your product: ofelod.me/VAlGieF,2021-04-01 13:46:31+00:00,TELUS_TI|Smishing|cloudmark_sms
127,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/V3aEivP,2021-04-06 23:01:01+00:00,TELUS_TI|Smishing|7726_sms|moose|datasource: moosebutler|geekweek|reporting_org: MOOSE-TELUS
128,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/V3aEivP,2021-04-01 13:46:52+00:00,TELUS_TI|Smishing|7726_sms
129,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,"Hi Darren, A product lPS_17809959270 is held in the imports department . Please visit the system to get your order: ofelod.me/V3aEivP",2021-04-01 13:46:52+00:00,TELUS_TI|Smishing|7726_sms
130,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/r6yPq73,2021-04-06 20:55:49+00:00,TELUS_TI|Smishing|7726_sms|moose
131,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/r6yPq73,2021-04-01 13:51:56+00:00,TELUS_TI|Smishing|7726_sms
132,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,Att: Chickie: The order lPS_17097467228 is withheld in the duty center . Please visit the link to find your product: ofelod.me/r6yPq73,2021-04-01 13:51:57+00:00,TELUS_TI|Smishing|7726_sms
133,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/sqBZ1u_,2021-04-06 20:55:49+00:00,TELUS_TI|Smishing|7726_sms|moose
134,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/sqBZ1u_,2021-04-01 13:51:58+00:00,TELUS_TI|Smishing|7726_sms
135,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,hey Natasha. A order lPS_17097711124 is detained in the shipping center . Go to the website to find your product: ofelod.me/sqBZ1u_,2021-04-01 13:51:59+00:00,TELUS_TI|Smishing|7726_sms
136,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/oMEU8MP,2021-04-06 22:57:16+00:00,TELUS_TI|Smishing|7726_sms|moose|datasource: moosebutler|geekweek|reporting_org: MOOSE-TELUS
137,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/oMEU8MP,2021-04-01 13:52:00+00:00,TELUS_TI|Smishing|7726_sms
138,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,Hello Kent: Your item lPS_13067173551 is held in the distribution warehouse . Please visit our website to receieve your item: ofelod.me/oMEU8MP,2021-04-01 13:52:01+00:00,TELUS_TI|Smishing|7726_sms
139,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/cscgR2j,2021-04-06 20:55:50+00:00,TELUS_TI|Smishing|7726_sms|moose
140,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/cscgR2j,2021-04-01 13:52:02+00:00,TELUS_TI|Smishing|7726_sms
141,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,Att: Linda  Your order lPS_12263454712 is detained in the imports department . Visit the link to find your order: ofelod.me/cscgR2j,2021-04-01 13:52:03+00:00,TELUS_TI|Smishing|7726_sms
142,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/iTSLNQ4,2021-04-06 20:55:50+00:00,TELUS_TI|Smishing|7726_sms|moose
143,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/iTSLNQ4,2021-04-01 13:52:04+00:00,TELUS_TI|Smishing|7726_sms
144,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,Hey Gilles  A product lPS_14187259220 is detained in the customs center . Visit the site to receieve your product: ofelod.me/iTSLNQ4,2021-04-01 13:52:04+00:00,TELUS_TI|Smishing|7726_sms
145,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/fVI35h4,2021-04-06 22:57:47+00:00,TELUS_TI|Smishing|cloudmark_sms|moose|datasource: moosebutler|geekweek|reporting_org: MOOSE-TELUS
146,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/fVI35h4,2021-04-01 13:57:00+00:00,TELUS_TI|Smishing|cloudmark_sms
147,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,Att: Yajuan  A order lPS_16476079856 is detained in the customs department . Please visit the site to receieve your item: ofelod.me/fVI35h4,2021-04-01 13:57:01+00:00,TELUS_TI|Smishing|cloudmark_sms
148,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,url,http://ofelod.me/O772exL,2021-04-06 20:55:51+00:00,TELUS_TI|Smishing|7726_sms|moose
149,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,uri,/O772exL,2021-04-01 14:22:04+00:00,TELUS_TI|Smishing|7726_sms
150,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,text,Hello Qui: The order lPS_12263505668 is held in the shipping warehouse . Visit our website to receieve your order: ofelod.me/O772exL,2021-04-01 14:22:05+00:00,TELUS_TI|Smishing|7726_sms
151,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,comment,submitted_time|2021-04-06 00:00:00,2021-04-06 22:57:17+00:00,datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
152,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,ip-dst,31.207.45.247,2021-04-06 22:57:19+00:00,datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
153,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,AS,"country code: BG
AS number: 31083
AS name: Telepoint Ltd",2021-04-06 22:57:19+00:00,datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
154,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,comment,"CIRA_DZONE: ALLOWED
CLOUDFLARE: ALLOWED
PUBLICDNS: ALLOWED
CLEANBROWSING: ALLOWED
CIRA_SHIELD: ALLOWED
ADGUARD: ALLOWED
QUAD9: ALLOWED",2021-04-06 22:57:20+00:00,datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
155,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,link,https://lookyloo.circl.lu/tree/9ea1faa5-a027-4b09-9913-26cd3648d21b,2021-04-06 22:57:21+00:00,datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
156,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,link,https://lookyloo.circl.lu/tree/9ea1faa5-a027-4b09-9913-26cd3648d21b/image,2021-04-06 22:57:21+00:00,datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
157,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,comment,"CIRA_DZONE: ALLOWED
PUBLICDNS: ALLOWED
CLOUDFLARE: ALLOWED
CLEANBROWSING: ALLOWED
ADGUARD: ALLOWED
CIRA_SHIELD: ALLOWED
QUAD9: ALLOWED",2021-04-06 22:57:49+00:00,datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
158,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,link,https://lookyloo.circl.lu/tree/0e4d8b29-eea6-4685-8278-8c4b5959e612,2021-04-06 22:57:50+00:00,datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
159,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,link,https://lookyloo.circl.lu/tree/0e4d8b29-eea6-4685-8278-8c4b5959e612/image,2021-04-06 22:57:50+00:00,datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
160,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,link,https://lookyloo.circl.lu/tree/5273d22d-0ea8-4c87-a0da-34c9ea725c22,2021-04-06 23:01:03+00:00,datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
161,2021-04-06 23:01:04+00:00,270813,phishing domain - ofelod.me,TELUS_TI|Smishing|cloudmark_sms|7726_sms|Validated Threat|sector: delivery|tid: 943288|datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS,link,https://lookyloo.circl.lu/tree/5273d22d-0ea8-4c87-a0da-34c9ea725c22/image,2021-04-06 23:01:03+00:00,datasource: moosebutler|geekweek|moose|reporting_org: MOOSE-TELUS
161,2021-04-06 19:59:12+00:00,270814,phishing domain - fvhuw.com,TELUS_TI|Smishing|7726_sms|Suspicious|tid: 943288,,,,
162,2021-04-06 19:59:12+00:00,270814,phishing domain - fvhuw.com,TELUS_TI|Smishing|7726_sms|Suspicious|tid: 943288,domain,fvhuw.com,2021-04-01 13:52:08+00:00,TELUS_TI|Smishing|7726_sms
163,2021-04-06 19:59:12+00:00,270814,phishing domain - fvhuw.com,TELUS_TI|Smishing|7726_sms|Suspicious|tid: 943288,url,http://fvhuw.com,2021-04-01 13:52:09+00:00,TELUS_TI|Smishing|7726_sms
164,2021-04-06 19:59:12+00:00,270814,phishing domain - fvhuw.com,TELUS_TI|Smishing|7726_sms|Suspicious|tid: 943288,text,Pending: Your auto policy fvhuw.com is expired. Update Now,2021-04-01 13:52:09+00:00,TELUS_TI|Smishing|7726_sms
